Park Code,Category,Order,Family,Taxa Code,Scientific Name,Synonyms,Common Name,Occurrence,Occurrence Tags
ARCH,Vascular Plant,,,768309,Arabis holboellii var. brachycarpa,,Spreadingpod rockcress,Probably Present,
ARCH,Vascular Plant,,,758598,Arabis perennans var. perennans,Arabis perennans (121285),Perennial rockcress,Present,
ARCH,Vascular Plant,,,758644,Camissonia scapoidea var. scapoidea,,Paiute suncup,Present,
ARCH,Vascular Plant,,,758603,Chrysopsis villosa var. minor,"Chrysopsis villosa var. minor (758613),Heterotheca villosa var. foliosa (220996),Chrysopsis foliosa (173867),Chrysopsis villosa (173936),Heterotheca villosa var. hispida (210318),Chrysopsis villosa var. hispida (221733)",Hispid golden-aster,Present,
ARCH,Vascular Plant,,,758631,Gilia leptomeria var. leptomeria,Gilia leptomeria (139862),Common gilia,Present,
ARCH,Vascular Plant,,,758648,Haplopappus armerioides var. armerioides,Haplopappus armerioides (141148),Thrift goldenweed,Present,
ARCH,Vascular Plant,,,758635,Suaeda torreyana var. torreyana,Suaeda torreyana (112918),Torrey's seepweed,Present,
ARCH,Vascular Plant,,,161224,Viguiera multiflora var. multiflora,,Showy goldeneye,Present,
ARCH,Vascular Plant,,,758647,Zuckia brandegei var. brandegei,"Zuckia brandegei (758607),Zuckia brandegeei var. brandegeei (216208),Grayia brandegei (758616)",Brandegee's siltbush,Present,
ARCH,Vascular Plant,Alismatales,Juncaginaceae,141547,Triglochin maritima,,Seaside arrowgrass,Present,
ARCH,Vascular Plant,Apiales,Apiaceae,208282,Cymopterus acaulis var. fendleri,Cymopterus acaulis (134770),Fendler's cymopterus,Present,
ARCH,Vascular Plant,Apiales,Apiaceae,134774,Cymopterus bulbosus,,Onion spring-parsley,Present,
ARCH,Vascular Plant,Apiales,Apiaceae,134793,Cymopterus newberryi,,Sticky spring-parsley,Present,
ARCH,Vascular Plant,Apiales,Apiaceae,134798,Cymopterus purpurascens,,Basin white-cup spring-parsley,Present,
ARCH,Vascular Plant,Apiales,Apiaceae,758642,Cymopterus purpureus var. purpureus,Cymopterus purpureus (134799),Colorado Plateau spring-parsley,Present,
ARCH,Vascular Plant,Apiales,Apiaceae,135403,Lomatium latilobum,,Canyonlands lomatium,Present,
ARCH,Vascular Plant,Apiales,Apiaceae,125494,Lomatium parryi,,Parry's lomatium,Present,
ARCH,Vascular Plant,Asparagales,Amaryllidaceae,150294,Allium macropetalum,,San Juan onion,Present,
ARCH,Vascular Plant,Asparagales,Amaryllidaceae,150299,Allium nevadense,,Nevada onion,Present,
ARCH,Vascular Plant,Asparagales,Amaryllidaceae,149584,Allium textile,,Textile onion,Present,
ARCH,Vascular Plant,Asparagales,Asparagaceae,140575,Androstephium breviflorum,,Pink funnel-lily,Present,
ARCH,Vascular Plant,Asparagales,Asparagaceae,140583,Asparagus officinalis,,Asparagus,Present,
ARCH,Vascular Plant,Asparagales,Asparagaceae,142751,Smilacina stellata,,Starry false Solomon's-seal,Present,
ARCH,Vascular Plant,Asparagales,Asparagaceae,142855,Yucca angustissima,,Narrowleaved yucca,Probably Present,
ARCH,Vascular Plant,Asparagales,Asparagaceae,215603,Yucca harrimaniae var. harrimaniae,Yucca harrimaniae (144232),Harriman's yucca,Present,
ARCH,Vascular Plant,Asparagales,Orchidaceae,147073,Epipactis gigantea,,Giant helleborine,Present,
ARCH,Vascular Plant,Asparagales,Orchidaceae,229542,Habenaria dilatata var. leucostachys,,Lindley's white bog-orchid,Present,
ARCH,Vascular Plant,Asparagales,Orchidaceae,185139,Habenaria zothecina,,Alcove bog-orchid,Present,
ARCH,Vascular Plant,Asterales,Asteraceae,141408,Ambrosia acanthicarpa,Franseria acanthicarpa (184142),Bur ragweed,Present,
ARCH,Vascular Plant,Asterales,Asteraceae,141463,Arctium minus,,Burdock,Present,
ARCH,Vascular Plant,Asterales,Asteraceae,133588,Artemisia bigelovii,,Bigelow's sagebrush,Present,
ARCH,Vascular Plant,Asterales,Asteraceae,293787,Artemisia campestris var. scouleriana,Artemisia caudata (133595),Sand wormwood,Present,
ARCH,Vascular Plant,Asterales,Asteraceae,86031,Artemisia dracunculus ssp. glauca,,Tarragon,Present,
ARCH,Vascular Plant,Asterales,Asteraceae,133600,Artemisia filifolia,,Sand sagebrush,Present,
ARCH,Vascular Plant,Asterales,Asteraceae,221327,Artemisia ludoviciana var. albula,Artemisia ludoviciana (133612),Louisiana wormwood,Present,
ARCH,Vascular Plant,Asterales,Asteraceae,156261,Artemisia ludoviciana var. ludoviciana,,Louisiana wormwood,Present,
ARCH,Vascular Plant,Asterales,Asteraceae,221342,Artemisia ludoviciana var. mexicana,,Louisiana wormwood,Present,
ARCH,Vascular Plant,Asterales,Asteraceae,216383,Artemisia nova var. nova,Artemisia nova (152878),Black sagebrush,Probably Present,
ARCH,Vascular Plant,Asterales,Asteraceae,133636,Artemisia spinescens,,Budsage,Present,
ARCH,Vascular Plant,Asterales,Asteraceae,667036,Artemisia tridentata var. tridentata,Artemisia tridentata (133638),Basin big sagebrush,Present,
ARCH,Vascular Plant,Asterales,Asteraceae,222184,Artemisia tridentata var. wyomingensis,,Wyoming big sagebrush,Probably Present,
ARCH,Vascular Plant,Asterales,Asteraceae,101602,Aster ascendens,Aster chilensis ssp. adscendens (101605),Pacific aster,Present,
ARCH,Vascular Plant,Asterales,Asteraceae,134212,Aster brachyactis,,Rayless alkali aster,Present,
ARCH,Vascular Plant,Asterales,Asteraceae,134267,Aster hesperius,,Siskiyou aster,Present,
ARCH,Vascular Plant,Asterales,Asteraceae,134658,Baccharis salicina,Baccharis emoryi (134647),Rio Grande seepwillow,Present,
ARCH,Vascular Plant,Asterales,Asteraceae,134669,Bidens frondosa,,Devil's- beggarsticks,Present,
ARCH,Vascular Plant,Asterales,Asteraceae,136737,Brickellia longifolia,,Longleaf brickellbush,Present,
ARCH,Vascular Plant,Asterales,Asteraceae,209795,Brickellia microphylla var. scabra,Brickellia scabra (136748),Rough brickellbush,Present,
ARCH,Vascular Plant,Asterales,Asteraceae,209799,Brickellia oblongifolia var. linifolia,Brickellia oblongifolia (136744),Mohave brickellbush,Present,
ARCH,Vascular Plant,Asterales,Asteraceae,136825,Centaurea maculosa,,spotted knapweed,Present,
ARCH,Vascular Plant,Asterales,Asteraceae,173262,Centaurea repens,,Russian knapweed,Present,
ARCH,Vascular Plant,Asterales,Asteraceae,137249,Chaenactis douglasii,,Hoary dusty-maiden,Probably Present,
ARCH,Vascular Plant,Asterales,Asteraceae,137261,Chaenactis stevioides,,Stevia dusty-maiden,Present,
ARCH,Vascular Plant,Asterales,Asteraceae,151902,Chaetopappa ericoides,Aster arenosus (172101),Rose-heath,Present,
ARCH,Vascular Plant,Asterales,Asteraceae,137324,Chrysothamnus linifolius,Chrysothamnus viscidiflorus ssp. linifolius (209356),Spear-leaf rabbitbrush,Present,
ARCH,Vascular Plant,Asterales,Asteraceae,222302,Chrysothamnus nauseosus var. consimilis,Chrysothamnus nauseosus (137325),Greenish rabbitbrush,Present,
ARCH,Vascular Plant,Asterales,Asteraceae,222308,Chrysothamnus nauseosus var. gnaphalodes,,Graystem rabbitbrush,Present,
ARCH,Vascular Plant,Asterales,Asteraceae,222310,Chrysothamnus nauseosus var. graveolens,"Chrysothamnus nauseosus var. glabratus (222304),Chrysothamnus nauseosus ssp. pinifolius (209333)",Glabrate rabbitbrush,Present,
ARCH,Vascular Plant,Asterales,Asteraceae,222316,Chrysothamnus nauseosus var. junceus,,Rush rabbitbrush,Present,
ARCH,Vascular Plant,Asterales,Asteraceae,222320,Chrysothamnus nauseosus var. leiospermus,,Smoothseed rabbitbrush,Present,
ARCH,Vascular Plant,Asterales,Asteraceae,222352,Chrysothamnus parryi var. howardii,Chrysothamnus parryi (137343),Longbract rabbitbrush,Present,
ARCH,Vascular Plant,Asterales,Asteraceae,222367,Chrysothamnus viscidiflorus var. lanceolatus,,Lanceleaf rabbitbrush,Probably Present,
ARCH,Vascular Plant,Asterales,Asteraceae,294271,Chrysothamnus viscidiflorus var. stenophyllus,,Slenderleaf rabbitbrush,Present,
ARCH,Vascular Plant,Asterales,Asteraceae,294273,Chrysothamnus viscidiflorus var. viscidiflorus,Chrysothamnus viscidiflorus (137364),Green rabbitbrush,Present,
ARCH,Vascular Plant,Asterales,Asteraceae,223229,Cirsium calcareum var. pulchellum,Cirsium calcareum (140043),Pretty thistle,Present,
ARCH,Vascular Plant,Asterales,Asteraceae,209520,Cirsium neomexicanum var. neomexicanum,,New Mexico thistle,Present,
ARCH,Vascular Plant,Asterales,Asteraceae,140116,Cirsium rydbergii,,Rydberg's thistle,Present,
ARCH,Vascular Plant,Asterales,Asteraceae,210369,Cirsium undulatum var. undulatum,Cirsium undulatum (140129),Wavy-leaved thistle,Present,
ARCH,Vascular Plant,Asterales,Asteraceae,140134,Cirsium vulgare,,Bull thistle,Probably Present,
ARCH,Vascular Plant,Asterales,Asteraceae,212077,Conyza canadensis var. glabrata,Conyza canadensis (138585),Canadian horseweed,Present,
ARCH,Vascular Plant,Asterales,Asteraceae,224726,Crepis runcinata var. glauca,Crepis runcinata (138685),Glaucous hawksbeard,Present,
ARCH,Vascular Plant,Asterales,Asteraceae,758597,Dicoria brandegei,,Brandegee's sandplant,Present,
ARCH,Vascular Plant,Asterales,Asteraceae,211996,Encelia frutescens var. resinosa,Encelia frutescens (139601),Bush encelia,Present,
ARCH,Vascular Plant,Asterales,Asteraceae,110158,Enceliopsis nudicaulis var. nudicaulis,,Nakedstem,Probably Present,
ARCH,Vascular Plant,Asterales,Asteraceae,139608,Enceliopsis nutans,,Noddinghead,Present,
ARCH,Vascular Plant,Asterales,Asteraceae,212483,Erigeron aphanactis var. aphanactis,,Hairy daisy,Present,
ARCH,Vascular Plant,Asterales,Asteraceae,136003,Erigeron bellidiastrum,,Pretty daisy,Present,
ARCH,Vascular Plant,Asterales,Asteraceae,226636,Erigeron divergens var. cinereus,Erigeron divergens (136031),Spreading daisy,Present,
ARCH,Vascular Plant,Asterales,Asteraceae,156870,Erigeron divergens var. divergens,,Spreading daisy,Present,
ARCH,Vascular Plant,Asterales,Asteraceae,136924,Erigeron pulcherrimus,,Basin daisy,Present,
ARCH,Vascular Plant,Asterales,Asteraceae,226699,Erigeron pumilus var. concinnus,Erigeron pumilus (136925),Navajo fleabane,Present,
ARCH,Vascular Plant,Asterales,Asteraceae,209022,Erigeron utahensis var. sparsifolius,,Slenderleaf daisy,Present,
ARCH,Vascular Plant,Asterales,Asteraceae,209024,Erigeron utahensis var. utahensis,Erigeron utahensis (136961),Utah daisy,Present,
ARCH,Vascular Plant,Asterales,Asteraceae,140450,Euthamia occidentalis,Solidago occidentalis (201553),Western goldenrod,Present,
ARCH,Vascular Plant,Asterales,Asteraceae,140474,Flaveria campestris,,Marshweed,Present,
ARCH,Vascular Plant,Asterales,Asteraceae,140509,Gaillardia pinnatifida,,Hopi blanketflower,Present,
