Common Name,Scientific Name,Plant Type
Banana Yucca,Yucca baccata,Cacti
Beavertail Cactus,Opuntia basilaris,Cacti
Fish Hook Cactus,Sclerocactus whipplei,Cacti
Harriman Yucca,Yucca harrimaniae,Cacti
Navajo Yucca,Yucca baileyi,Cacti
Plains Pricklypear,Opuntia polyacantha,Cacti
Prickly Pear Cactus,Opuntia ssp,Cacti
Soaptree Yucca,Yucca elata,Cacti
Tulip Pricklypear,Opuntia phaeacantha,Cacti
Utah Agave,Agave utahensis,Cacti
Blanket Flower,Guillardia artistita,Forbs
Bridges' Penstemon,Penstemon rostriflorus,Forbs
"Daisy, Sundancer",Hymenoxys acaulis,Forbs
Desert 4 O'Clock,Mirabilis multiflora,Forbs
Desert Marigold,Baileya multiradiata,Forbs
Globemallow,Sphaeralcea ssp,Forbs
Golden Catspaw,Cryptantha flava,Forbs
James Buchwheat,Eriogonum jamesii,Forbs
Littlecup Penstemon,Penstemon sepalulus,Forbs
Littleleaf Pussytoes,Antennaria parvifolia,Forbs
Mexican Hat,Ratibida columnifera,Forbs
Moonflower,Datura wrightii,Forbs
Munroe Globemallow,Sphaeralcea munroana,Forbs
Paperflower,Psilostrophe tagetina,Forbs
Prince's Plume,Stanleya pinnata,Forbs
Rough Mules Ears,Wyethia scabra,Forbs
San Verbena,Abronia fragrans,Forbs
Showy Milkweed,Asclepias speciosa Torr.,Forbs
Venus Penstemon,Penstemon venustus,Forbs
Blue Grama,Bouteloua gracilis,Grasses
Bottlebrush Squirreltail,Elymus elymoides,Grasses
Galleta,Pieuraphis jamesii,Grasses
Needle and Thread,Hesperostipa comata,Grasses
Purple 3-Awn,Artistida purpurea,Grasses
Big Sagebrush,Artemisia tridentata,Shrubs
Black Sagebrush,Artemisia nova,Shrubs
Cliffrose,Purshia mexicana,Shrubs
Desert Holly,Mahonia fremontii,Shrubs
Four-Wing Saltbrush,Atriplex canescens,Shrubs
Gardner Saltbrush,Atriplex gardneri,Shrubs
Mat Saltbrush,Atriplex corrugata,Shrubs
Mormon Tea,Ephedrea viridis,Shrubs
Shadscale,Atriplex confertifolia,Shrubs
Snakeweed,Gutierrezia sarothrae,Shrubs
Spiny Hop-sage,Grayia spinosa,Shrubs
Threadleaf sagebrush,Artemisia filifolia,Shrubs
Bristlecone Pine,Pinus artistata,Trees
Pinyon Pine,Pinus edulis,Trees
Singleleaf Ash,Fraxinus anomala,Trees
Singleleaf Pinyon,Pinus monophylla,Trees
American Wild Plum,Prunus americana,Shrubs
Emory's Baccharis,Baccharis salicina,Shrubs
